@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
5560,'2020/10/21 20:53:59:977',7,0,44,335,1,63,1,30,0,0,0
5561,'2020/10/21 20:53:59:977',7,0,43,335,1,63,1,30,0,0,0
5562,'2020/10/21 20:53:59:977',7,0,43,335,1,63,1,30,0,0,0
5563,'2020/10/21 20:54:00:093',7,0,43,335,1,63,0,30,0,0,0
5564,'2020/10/21 20:54:00:093',7,0,43,335,1,71,0,30,0,0,0
5565,'2020/10/21 20:54:00:093',7,0,43,335,0,71,0,30,0,0,0
5566,'2020/10/21 20:54:00:093',7,0,43,333,0,71,0,30,0,0,0
5567,'2020/10/21 20:54:00:093',7,0,44,333,0,71,0,30,0,0,0
5568,'2020/10/21 20:54:00:093',7,0,44,333,0,71,0,30,0,0,0
5569,'2020/10/21 20:54:00:187',7,0,44,333,0,71,0,30,0,0,0
5570,'2020/10/21 20:54:00:187',7,0,44,333,0,49,0,30,0,0,0
5571,'2020/10/21 20:54:00:187',7,0,44,333,0,49,0,30,0,0,0
5572,'2020/10/21 20:54:00:187',7,0,44,331,0,49,0,30,0,0,0
5573,'2020/10/21 20:54:00:187',7,0,44,331,0,49,0,30,0,0,0
5574,'2020/10/21 20:54:00:187',7,0,44,331,0,49,0,30,0,0,0
5575,'2020/10/21 20:54:00:279',7,0,44,331,0,49,0,30,0,0,0
5576,'2020/10/21 20:54:00:279',7,0,44,331,0,56,0,30,0,0,0
5577,'2020/10/21 20:54:00:279',7,0,44,331,0,56,0,30,0,0,0
5578,'2020/10/21 20:54:00:279',7,0,44,332,0,56,0,30,0,0,0
5579,'2020/10/21 20:54:00:279',7,0,43,332,0,56,0,30,0,0,0
5580,'2020/10/21 20:54:00:280',7,0,43,332,0,56,0,30,0,0,0
5581,'2020/10/21 20:54:00:384',7,0,43,332,0,56,0,30,0,0,0
5582,'2020/10/21 20:54:00:385',7,0,43,332,0,65,0,30,0,0,0
5583,'2020/10/21 20:54:00:385',7,0,43,332,0,65,0,30,0,0,0
5584,'2020/10/21 20:54:00:385',7,0,43,335,0,65,0,30,0,0,0
5585,'2020/10/21 20:54:00:385',7,0,43,335,0,65,0,30,0,0,0
5586,'2020/10/21 20:54:00:385',7,0,43,335,0,65,0,30,0,0,0
5587,'2020/10/21 20:54:00:487',7,0,43,335,0,65,0,30,0,0,0
5588,'2020/10/21 20:54:00:488',7,0,43,335,0,58,0,30,0,0,0
5589,'2020/10/21 20:54:00:488',7,0,43,335,0,58,0,30,0,0,0
5590,'2020/10/21 20:54:00:488',7,0,43,334,0,58,0,30,0,0,0
5591,'2020/10/21 20:54:00:488',7,0,44,334,0,58,0,30,0,0,0
5592,'2020/10/21 20:54:00:488',7,0,44,334,0,58,0,30,0,0,0
5593,'2020/10/21 20:54:00:580',7,0,44,334,0,58,0,30,0,0,0
5594,'2020/10/21 20:54:00:580',7,0,44,334,0,78,0,30,0,0,0
5595,'2020/10/21 20:54:00:580',7,0,44,334,123,78,0,30,0,0,0
5596,'2020/10/21 20:54:00:581',7,0,44,335,123,78,0,30,0,0,0
5597,'2020/10/21 20:54:00:581',7,0,44,335,123,78,0,30,0,0,0
5598,'2020/10/21 20:54:00:581',7,0,44,335,123,78,0,30,0,0,0
5599,'2020/10/21 20:54:00:685',7,0,44,335,123,78,0,30,0,0,0
5600,'2020/10/21 20:54:00:685',7,0,44,335,123,92,0,30,0,0,0
5601,'2020/10/21 20:54:00:685',7,0,44,335,154,92,0,30,0,0,0
5602,'2020/10/21 20:54:00:685',7,0,44,337,154,92,0,30,0,0,0
5603,'2020/10/21 20:54:00:685',7,0,45,337,154,92,0,30,0,0,0
5604,'2020/10/21 20:54:00:685',7,0,45,337,154,92,0,30,0,0,0
5605,'2020/10/21 20:54:00:789',7,0,45,337,154,92,1,30,0,0,0
5606,'2020/10/21 20:54:00:789',7,0,45,337,154,69,1,30,0,0,0
5607,'2020/10/21 20:54:00:789',7,0,45,337,278,69,1,30,0,0,0
5608,'2020/10/21 20:54:00:789',7,0,45,347,278,69,1,30,0,0,0
5609,'2020/10/21 20:54:00:790',7,0,46,347,278,69,1,30,0,0,0
5610,'2020/10/21 20:54:00:790',7,0,46,347,278,69,1,30,0,0,0
5611,'2020/10/21 20:54:00:882',7,0,46,347,278,69,0,80,0,0,0
5612,'2020/10/21 20:54:00:883',7,0,46,347,278,76,0,80,0,0,0
5613,'2020/10/21 20:54:00:883',7,0,46,347,392,76,0,80,0,0,0
5614,'2020/10/21 20:54:00:883',7,0,46,347,392,76,0,80,0,0,0
5615,'2020/10/21 20:54:00:883',7,0,47,347,392,76,0,80,0,0,0
5616,'2020/10/21 20:54:00:883',7,1,47,347,392,76,0,80,0,0,0
5617,'2020/10/21 20:54:00:987',7,1,47,347,392,76,0,80,0,0,0
5618,'2020/10/21 20:54:00:988',7,1,47,347,392,93,0,80,0,0,0
5619,'2020/10/21 20:54:00:988',7,1,47,347,402,93,0,80,0,0,0
5620,'2020/10/21 20:54:00:988',7,1,47,351,402,93,0,80,0,0,0
5621,'2020/10/21 20:54:00:988',7,1,48,351,402,93,0,80,0,0,0
5622,'2020/10/21 20:54:00:988',7,1,48,351,402,93,0,80,0,0,0
5623,'2020/10/21 20:54:01:091',7,1,48,351,402,93,0,80,0,0,0
5624,'2020/10/21 20:54:01:091',7,1,48,351,402,89,0,80,0,0,0
5625,'2020/10/21 20:54:01:091',7,1,48,351,404,89,0,80,0,0,0
5626,'2020/10/21 20:54:01:091',7,1,48,348,404,89,0,80,0,0,0
5627,'2020/10/21 20:54:01:091',7,1,48,348,404,89,0,80,0,0,0
5628,'2020/10/21 20:54:01:091',7,0,48,348,404,89,0,80,0,0,0
5629,'2020/10/21 20:54:01:173',7,0,48,348,404,89,1,80,0,0,0
