@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
29475,'2020/10/01 16:11:32:742',179,0,0,0,0,0,0,0,0,30,0
29476,'2020/10/01 16:11:32:742',179,0,0,0,0,0,0,0,0,30,0
29477,'2020/10/01 16:11:32:742',179,0,0,0,0,0,0,0,0,30,0
29478,'2020/10/01 16:11:32:742',179,0,0,0,0,0,0,0,0,30,0
29479,'2020/10/01 16:11:32:831',179,0,0,0,0,0,0,0,0,30,0
29480,'2020/10/01 16:11:32:831',179,0,0,0,0,0,0,0,0,30,0
29481,'2020/10/01 16:11:32:831',179,0,0,0,0,0,0,0,0,30,0
29482,'2020/10/01 16:11:32:831',179,0,0,0,0,0,0,0,0,30,0
29483,'2020/10/01 16:11:32:831',179,0,0,0,0,0,0,0,0,30,0
29484,'2020/10/01 16:11:32:831',179,0,0,0,0,0,0,0,0,30,0
29485,'2020/10/01 16:11:32:936',179,0,0,0,0,0,0,0,0,30,0
29486,'2020/10/01 16:11:32:936',179,0,0,0,0,0,0,0,0,30,0
29487,'2020/10/01 16:11:32:936',179,0,0,0,0,0,0,0,0,30,0
29488,'2020/10/01 16:11:32:936',179,0,0,0,0,0,0,0,0,30,0
29489,'2020/10/01 16:11:32:936',179,0,0,0,0,0,0,0,0,30,0
29490,'2020/10/01 16:11:32:936',179,0,0,0,0,0,0,0,0,30,0
29491,'2020/10/01 16:11:33:040',179,0,0,0,0,0,0,0,0,30,0
29492,'2020/10/01 16:11:33:040',179,0,0,0,0,0,0,0,0,30,0
29493,'2020/10/01 16:11:33:040',179,0,0,0,0,0,0,0,0,30,0
29494,'2020/10/01 16:11:33:040',179,0,0,0,0,0,0,0,0,30,0
29495,'2020/10/01 16:11:33:040',179,0,0,0,0,0,0,0,0,30,0
29496,'2020/10/01 16:11:33:040',179,0,0,0,0,0,0,0,0,30,0
29497,'2020/10/01 16:11:33:133',179,0,0,0,0,0,0,0,0,30,0
29498,'2020/10/01 16:11:33:133',179,0,0,0,0,0,0,0,0,30,0
29499,'2020/10/01 16:11:33:133',179,0,0,0,0,0,0,0,0,30,0
29500,'2020/10/01 16:11:33:133',179,0,0,0,0,0,0,0,0,30,0
29501,'2020/10/01 16:11:33:133',179,0,0,0,0,0,0,0,0,30,0
29502,'2020/10/01 16:11:33:133',179,0,0,0,0,0,0,0,0,30,0
29503,'2020/10/01 16:11:33:239',179,0,0,0,0,0,0,0,0,30,0
29504,'2020/10/01 16:11:33:240',179,0,0,0,0,0,0,0,0,30,0
29505,'2020/10/01 16:11:33:241',179,0,0,0,0,0,0,0,0,30,0
29506,'2020/10/01 16:11:33:241',179,0,0,0,0,0,0,0,0,30,0
29507,'2020/10/01 16:11:33:241',179,0,0,0,0,0,0,0,0,30,0
29508,'2020/10/01 16:11:33:241',179,0,0,0,0,0,0,0,0,30,0
29509,'2020/10/01 16:11:33:331',179,0,0,0,0,0,0,0,0,30,0
29510,'2020/10/01 16:11:33:331',179,0,0,0,0,0,0,0,0,30,0
