@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
259,'2020/10/01 16:53:28:352',2,0,0,0,0,0,0,1
260,'2020/10/01 16:53:28:352',2,0,0,0,0,0,0,1
261,'2020/10/01 16:53:28:352',2,0,0,0,0,0,0,1
262,'2020/10/01 16:53:28:352',2,0,0,0,0,0,0,1
263,'2020/10/01 16:53:28:352',2,0,0,0,0,0,0,1
264,'2020/10/01 16:53:28:352',2,0,0,0,0,0,0,1
265,'2020/10/01 16:53:28:457',2,0,0,0,0,0,0,1
266,'2020/10/01 16:53:28:457',2,0,0,0,0,0,0,1
267,'2020/10/01 16:53:28:457',2,0,0,0,0,0,0,1
268,'2020/10/01 16:53:28:457',2,0,0,0,0,0,0,1
269,'2020/10/01 16:53:28:457',2,0,0,0,0,0,0,1
270,'2020/10/01 16:53:28:457',2,0,0,0,0,0,0,1
271,'2020/10/01 16:53:28:561',2,0,0,0,0,0,0,1
272,'2020/10/01 16:53:28:561',2,0,0,0,0,0,0,1
273,'2020/10/01 16:53:28:561',2,0,0,0,0,0,0,1
274,'2020/10/01 16:53:28:561',2,0,0,0,0,0,0,1
275,'2020/10/01 16:53:28:561',2,0,0,0,0,0,0,1
276,'2020/10/01 16:53:28:561',2,0,0,0,0,0,0,1
277,'2020/10/01 16:53:28:654',2,0,0,0,0,0,0,1
278,'2020/10/01 16:53:28:654',2,0,0,0,0,0,0,1
279,'2020/10/01 16:53:28:654',2,0,0,0,0,0,0,1
280,'2020/10/01 16:53:28:654',2,0,0,0,0,0,0,1
281,'2020/10/01 16:53:28:654',2,0,0,0,0,0,0,1
282,'2020/10/01 16:53:28:654',2,0,0,0,0,0,0,1
283,'2020/10/01 16:53:28:758',2,0,0,0,0,0,0,1
284,'2020/10/01 16:53:28:758',2,0,0,0,0,0,0,1
285,'2020/10/01 16:53:28:758',2,0,0,0,0,0,0,1
286,'2020/10/01 16:53:28:758',2,0,0,0,0,0,0,1
287,'2020/10/01 16:53:28:759',2,0,0,0,0,0,0,1
288,'2020/10/01 16:53:28:759',2,0,0,0,0,0,0,1
289,'2020/10/01 16:53:50:459',3,0,0,0,0,0,0,1
290,'2020/10/01 16:53:50:461',3,0,0,0,0,0,0,1
291,'2020/10/01 16:53:50:461',3,0,0,0,0,0,0,1
292,'2020/10/01 16:53:50:462',3,0,0,0,0,0,0,1
293,'2020/10/01 16:53:50:462',3,0,0,0,0,0,0,1
294,'2020/10/01 16:53:50:462',3,0,0,0,0,0,0,1
295,'2020/10/01 16:53:50:563',3,0,0,0,0,0,0,1
296,'2020/10/01 16:53:50:563',3,0,0,0,0,0,0,1
297,'2020/10/01 16:53:50:563',3,0,0,0,0,0,0,1
298,'2020/10/01 16:53:50:563',3,0,0,0,0,0,0,1
299,'2020/10/01 16:53:50:563',3,0,0,0,0,0,0,1
300,'2020/10/01 16:53:50:563',3,0,0,0,0,0,0,1
301,'2020/10/01 16:53:50:655',3,0,0,0,0,0,0,1
302,'2020/10/01 16:53:50:656',3,0,0,0,0,0,0,1
303,'2020/10/01 16:53:50:656',3,0,0,0,0,0,0,1
304,'2020/10/01 16:53:50:656',3,0,0,0,0,0,0,1
305,'2020/10/01 16:53:50:656',3,0,0,0,0,0,0,1
306,'2020/10/01 16:53:50:656',3,0,0,0,0,0,0,1
307,'2020/10/01 16:53:50:761',3,0,0,0,0,0,0,1
308,'2020/10/01 16:53:50:761',3,0,0,0,0,0,0,1
309,'2020/10/01 16:53:50:761',3,0,0,0,0,0,0,1
310,'2020/10/01 16:53:50:761',3,0,0,0,0,0,0,1
311,'2020/10/01 16:53:50:761',3,0,0,0,0,0,0,1
312,'2020/10/01 16:53:50:761',3,0,0,0,0,0,0,1
313,'2020/10/01 16:53:50:853',3,0,0,0,0,0,0,1
314,'2020/10/01 16:53:50:853',3,0,0,0,0,0,0,1
315,'2020/10/01 16:53:50:854',3,0,0,0,0,0,0,1
316,'2020/10/01 16:53:50:854',3,0,0,0,0,0,0,1
317,'2020/10/01 16:53:50:854',3,0,0,0,0,0,0,1
318,'2020/10/01 16:53:50:854',3,0,0,0,0,0,0,1
319,'2020/10/01 16:53:50:958',3,0,0,0,0,0,0,1
320,'2020/10/01 16:53:50:958',3,0,0,0,0,0,0,1
321,'2020/10/01 16:53:50:958',3,0,0,0,0,0,0,1
322,'2020/10/01 16:53:50:958',3,0,0,0,0,0,0,1
323,'2020/10/01 16:53:50:958',3,0,0,0,0,0,0,1
324,'2020/10/01 16:53:50:958',3,0,0,0,0,0,0,1
325,'2020/10/01 16:53:51:062',3,0,0,0,0,0,0,1
326,'2020/10/01 16:53:51:062',3,0,0,0,0,0,0,1
327,'2020/10/01 16:53:51:062',3,0,0,0,0,0,0,1
328,'2020/10/01 16:53:51:062',3,0,0,0,0,0,0,1
329,'2020/10/01 16:53:51:062',3,0,0,0,0,0,0,1
330,'2020/10/01 16:53:51:062',3,0,0,0,0,0,0,1
331,'2020/10/01 16:53:51:155',3,0,0,0,0,0,0,1
332,'2020/10/01 16:53:51:155',3,0,0,0,0,0,0,1
333,'2020/10/01 16:53:51:155',3,0,0,0,0,0,0,1
334,'2020/10/01 16:53:51:155',3,0,0,0,0,0,0,1
335,'2020/10/01 16:53:51:155',3,0,0,0,0,0,0,1
336,'2020/10/01 16:53:51:155',3,0,0,0,0,0,0,1
337,'2020/10/01 16:53:51:261',3,0,0,0,0,0,0,1
